STATE,Initial Claims,First Payments,Weeks Claimed,Weeks Compensated,Avg. Wkly Benefit,Benefits Paid,Final Payments
Puerto Rico,4117,9649,467063,461858,187.02,85569935,51518
Rhode Island,12834,2621,148169,133371,320.27,40568661,14198
South Carolina,24910,7946,366820,266070,223.41,60654148,26029
South Dakota,1386,712,24806,18985,310.59,5594177,651
Tennessee,44192,12132,662441,637253,211.60,132502396,49030
Texas,211049,98049,3991614,3574842,372.38,1215204585,194833
Utah,11342,3105,136434,105724,401.12,40989651,5688
Vermont,2993,1275,90826,94340,340.34,28105977,5794
Virgin Islands,822,418,14370,14846,366.84,5111843,895
Virginia,45040,23416,784370,587427,278.28,157008754,54246
Washington,80966,12704,1084227,889604,415.56,326057010,56197
West Virginia,8488,3332,173683,179344,236.06,39943268,11807
Wisconsin,50918,9981,511386,411629,288.06,105009141,18226
Wyoming,2859,1010,32254,37145,433.65,15774640,1525
United States,3485891,911707,49076262,45719747,309.40,13385489036,3083064
Alabama,33420,7855,145457,78141,266.61,20284820,8874
Alaska,19658,2609,67238,67544,293.54,18968432,2288
Arizona,30687,12490,533557,459004,233.35,104346822,36884
Arkansas,19502,4090,121409,56241,244.40,12539062,4004
California,691313,140021,7467196,7150116,281.01,1870647324,638777
Colorado,27296,14417,446187,509298,381.31,187772668,33506
Connecticut,22671,8342,382674,398013,311.34,108661289,27264
Delaware,7529,1542,75879,70278,243.79,16499140,6759
District of Columbia,7005,2987,161731,146935,335.65,44476817,13841
Florida,171409,53714,1379501,977203,225.06,212369635,87126
Georgia,196666,16809,1470940,1128986,253.72,274829966,104165
Hawaii,21555,4266,308426,326745,426.65,134833235,35387
Idaho,13817,1796,35318,26709,326.36,7616182,1505
Illinois,236295,53343,1446807,1454010,317.44,457382812,119738
Indiana,136571,15895,426783,396703,223.97,86947142,29034
Iowa,19636,5384,169017,142549,379.82,47949695,9640
Kansas,73452,20018,179523,154951,380.55,56897844,10262
Kentucky,27475,4390,280177,219780,286.70,63172499,19681
Louisiana,43123,12188,547203,553528,181.38,98785549,55831
Maine,5257,1684,74701,59112,297.34,16455199,4745
Maryland,45434,11719,375499,329788,310.20,95137469,29853
Massachusetts,174081,36451,979416,842026,431.29,336101986,69574
Michigan,58217,18694,942408,786895,307.73,224405427,80465
Minnesota,46738,196,519268,446333,399.77,165396461,36475
Mississippi,14844,4530,208579,147293,186.64,25299099,12548
Missouri,36903,7095,225675,183379,243.59,41816154,11727
Montana,10069,341,60920,38394,410.42,11651595,2915
Nebraska,11144,1723,56422,42409,317.55,12984345,2775
Nevada,37891,13068,554268,423383,378.83,141691107,44458
New Hampshire,15979,1226,65098,53085,274.72,13589755,4454
New Jersey,127220,20352,975286,877995,407.96,323033465,77850
New Mexico,10082,4157,210872,192333,321.76,58409240,17942
New York,303693,45509,2502331,2351791,345.84,693240440,220109
North Carolina,66331,13696,293067,243421,225.08,44271046,39288
North Dakota,4868,1437,31875,34749,486.88,16444249,3413
Ohio,76079,16793,747935,557266,336.42,177223744,43178
Oklahoma,17987,5700,271400,250110,334.30,79855891,21250
Oregon,19582,13200,405808,313903,375.21,117891363,13366
Pennsylvania,88880,28491,1352661,1157863,345.65,354524085,86383
Puerto Rico,6079,6225,296801,273167,588.86,153823813,19747
Rhode Island,12595,2548,75752,66795,345.81,21358632,7457
South Carolina,22378,5316,262419,173769,223.66,39588665,14522
South Dakota,2030,537,16030,11817,316.48,3522768,704
Tennessee,37313,6991,330350,258196,215.90,54956473,22569
Texas,178683,63358,2658749,2348552,384.22,817842691,190046
Utah,10877,3196,91403,74115,412.27,29427642,5099
Vermont,3031,1015,55318,54766,351.09,15925026,3693
Virgin Islands,505,310,9493,11870,384.27,4245410,1386
Virginia,46212,19342,524141,347340,283.20,93609381,32870
Washington,76514,10252,668560,554344,435.66,204246021,41420
West Virginia,8630,2823,107932,101081,251.12,23436230,9484
Wisconsin,62178,10156,416619,320774,291.67,80847839,16122
Wyoming,2750,834,24437,23461,436.29,10040276,1528
United States,3440134,761121,32036516,28268309,316.89,8327273920,2433981
Alabama,38249,4388,118006,64803,263.31,16714859,5605
Alaska,19520,3391,77682,63963,300.39,18360381,443
Arizona,27606,13643,434453,367080,233.83,83585057,22356
Arkansas,16085,3638,105853,48757,251.75,11306136,2801
California,673481,114600,5791130,5527421,288.68,1461967260,347435
Colorado,54909,15211,410528,468607,382.71,174255971,21610
Connecticut,26054,7651,354147,336297,337.45,99226287,19166
Delaware,7168,1274,63162,52102,254.87,12764588,3833
District of Columbia,5414,2169,137959,99183,338.99,29786542,7920
Florida,109545,33592,928050,547363,228.80,121158043,32055
Georgia,104175,12220,1157921,720718,258.30,177629345,58911
Hawaii,17682,3702,202185,199123,422.72,80224031,15515
Idaho,18841,65,42940,31511,331.43,9416696,1344
Illinois,275280,79877,1284595,1206864,342.55,409129713,64518
Indiana,100749,18855,362841,315848,232.05,71642836,16781
Iowa,25649,6384,171805,111741,392.27,38714617,5517
Kansas,85582,27140,240815,148075,406.89,58717466,5574
Kentucky,32754,4055,219091,146906,302.09,44496678,8707
Louisiana,125882,5516,362174,330695,183.04,59510017,25971
Maine,7916,1954,59245,49449,312.51,14667753,2483
Maryland,47916,5706,337042,216372,396.00,78481465,11715
Massachusetts,149285,51619,923416,654111,490.85,293172174,38734
Michigan,96340,22561,764320,670091,309.39,194846485,38894
Minnesota,84822,268,532816,374707,417.36,144345019,22208
Mississippi,14757,2089,165310,102616,188.45,18024709,7739
Missouri,38396,5896,216912,155644,248.04,36307256,10145
Montana,10816,927,68721,32660,446.25,10670624,1931
Nebraska,10002,1669,51243,33681,326.69,10625002,2005
Nevada,32613,7511,448874,312106,377.59,104203073,22599
New Hampshire,9729,1091,58333,37689,283.63,9905809,2425
New Jersey,71570,13880,694991,612994,420.91,229688813,35674
New Mexico,23989,4927,192703,178662,317.42,53580374,8317
New York,289503,41143,2078456,1845063,355.15,551267355,122463
North Carolina,33207,10023,253044,175169,227.70,36473596,17416
North Dakota,6875,2604,33987,34062,477.27,15881572,2254
Ohio,107106,17669,687165,474641,349.78,157115029,25050
Oklahoma,16328,5000,224236,194764,346.30,64592116,13740
Oregon,40878,33769,362510,521195,382.61,197149008,10472
Pennsylvania,110263,28309,1449871,961966,357.51,305820673,49056
Puerto Rico,4391,4454,190327,181273,622.92,106812725,9897
Rhode Island,14955,5123,69207,59452,375.43,20661472,3506
South Carolina,13950,5626,220047,159383,215.05,34427639,11712
South Dakota,2161,687,14915,11252,333.73,3530771,412
Tennessee,27603,5251,249140,184032,221.55,40241263,13654
Texas,148415,46931,1931682,1574389,394.40,562386685,113390
Utah,12209,3266,83265,61164,420.07,24830590,3575
Vermont,5667,1256,51683,49183,362.09,14751125,2355
Virgin Islands,248,307,7593,8129,393.45,2994792,1132
Virginia,48847,19116,398043,253332,293.27,70664085,19104
Washington,100553,13251,588582,470383,451.42,178580383,22985
West Virginia,8019,2988,94077,81506,271.71,20408224,4610
Wisconsin,71493,15854,430000,322464,298.95,83173918,10876
Wyoming,4091,1054,24833,20277,430.93,8592090,1007
United States,3429538,741150,26421926,21860918,330.49,6677480190,1329597
Alabama,36330,4854,111602,47534,275.82,12921568,5707
Alaska,16601,3895,70229,81860,303.04,23927422,430
Arizona,32990,13335,308243,276805,234.21,63159644,14720
Arkansas,19649,4002,95942,43434,245.67,9920816,2038
California,782058,115624,4628100,4390571,295.70,1183137260,258375
Colorado,123845,36267,424290,465494,404.35,181720824,16870
Connecticut,40715,12821,284698,285786,356.34,88312980,12361
Delaware,15434,1713,54377,43739,263.56,11059173,2210
District of Columbia,7918,2124,101998,93127,340.15,28337975,4492
Florida,123847,35540,834347,534113,231.35,119602616,45011
Georgia,124285,17156,702418,647548,263.70,161966335,53013
Hawaii,18155,2840,137234,126905,419.99,50452593,8302
Idaho,18559,4577,49288,38957,340.14,12225990,1242
Illinois,514674,78533,1389493,1230521,353.33,431176034,51779
Indiana,104380,9906,299690,246198,242.30,58183099,11226
Iowa,38918,12281,166451,155078,408.25,56995557,5750
Kansas,153931,68376,331123,331758,429.64,140730626,5528
Kentucky,49784,4641,190253,125659,300.49,37725388,4807
Louisiana,51677,1599,275354,226610,185.83,41343489,15649
Maine,12855,3440,64159,53269,327.05,16678967,2039
Maryland,50161,12037,296877,261996,419.66,100534931,10128
Massachusetts,98357,20379,644981,606531,496.73,274147088,34060
Michigan,98780,30522,765624,643748,308.32,187181155,38194
Minnesota,77413,354,634840,546347,415.18,214732937,20881
Mississippi,21225,2524,128298,76536,192.74,13817472,4969
Missouri,53236,7016,192822,141599,253.02,33826046,7136
Montana,9592,2010,65346,46604,448.01,15485612,2027
Nebraska,12602,2620,50379,32347,335.43,10488698,1237
Nevada,37310,9381,344342,308368,376.12,98906849,15050
New Hampshire,14306,2088,54470,42641,288.75,11477823,2446
New Jersey,83329,16493,670384,577565,431.11,222560946,30301
New Mexico,15286,6985,176601,165118,313.40,48697827,7237
New York,326325,49113,1623233,1623585,362.17,505131326,78494
North Carolina,72059,10746,203902,139243,240.55,30915763,11226
North Dakota,6353,3052,30508,31642,478.29,14877818,1366
Ohio,138117,30032,617654,469038,362.59,161893484,18221
Oklahoma,20603,5290,162398,137871,355.18,46869502,8179
Oregon,49232,20301,344865,292589,378.49,111120887,4784
Pennsylvania,189307,48615,1401732,1214785,361.46,389729981,51036
Puerto Rico,5676,4534,225304,157724,304.43,45525861,6478
Rhode Island,25738,7850,79295,67775,379.18,24111821,2845
South Carolina,22233,7235,180457,126833,217.78,27782766,7304
South Dakota,3266,1200,16260,12804,348.39,4241505,277
Tennessee,45245,8761,201568,158094,225.48,35177329,9398
Texas,178153,46434,1704608,1444340,405.95,533425064,87561
Utah,13862,4819,71396,57431,426.44,23752642,2431
Vermont,7225,2091,50866,48111,368.36,15096667,1889
Virgin Islands,225,245,8639,9727,393.03,3529376,2154
Virginia,70131,20470,298898,264135,285.03,72517138,16437
Washington,100382,15981,737194,574318,444.24,220760138,20507
West Virginia,12211,6039,86547,83283,280.87,21764436,3071
Wisconsin,71306,34847,413023,489013,295.21,129829860,11576
Wyoming,4038,1481,21634,23732,428.18,9979055,1002
United States,4219889,875069,23024234,20320439,339.82,6389468159,1041451
Alabama,50666,7684,98650,56270,251.19,13852115,3820
Alaska,18294,2656,74935,63555,301.80,18422540,50
Arizona,54483,28288,333028,247971,238.23,57414887,12083
Arkansas,20229,4639,95125,50612,248.70,11673442,2248
California,506052,89633,3822830,3624204,307.24,1013940578,208241
Colorado,64390,25577,338468,358845,362.01,126565648,8035
Connecticut,43402,16880,366505,296405,364.00,93886449,10313
Delaware,11896,1975,59006,40415,262.05,10153898,556
District of Columbia,7679,2321,103241,69972,346.57,21757917,3546
Florida,391778,40558,676143,436984,233.59,98798436,39728
Georgia,130426,18567,658321,426228,272.05,108814983,30245
Hawaii,18180,1934,135767,87459,441.36,36049375,5467
Idaho,17915,4697,66157,54073,351.32,17577789,1731
Illinois,410187,57955,1201417,1013990,363.38,365310610,36207
Indiana,151234,13360,331737,260952,247.52,62591868,9010
Iowa,25093,14961,186704,156961,425.24,61685216,3964
Kansas,303581,68376,329261,288200,432.77,123690253,3264
Kentucky,41765,6532,169356,116885,325.01,38056595,3887
Louisiana,61092,2975,268277,142976,192.98,26839173,10624
Maine,11259,4055,70880,60200,336.74,19484410,1822
Maryland,118922,14743,324180,237300,330.25,71562272,7810
Massachusetts,98015,16343,750385,518127,521.24,244885934,21391
Michigan,86170,36001,774048,632913,336.89,200390490,27917
Minnesota,58844,8053,581796,456601,435.55,187122323,16345
Mississippi,27936,3784,145407,67194,190.27,11804606,4135
Missouri,59134,10285,249543,149323,253.87,35619236,6492
Montana,7969,3190,76171,42159,462.07,14891607,1534
Nebraska,13397,3206,64844,36140,343.73,12028386,971
Nevada,43070,11888,373702,312012,371.22,100572592,14169
New Hampshire,25793,2855,61224,48703,279.36,12752308,2031
New Jersey,72158,21933,654339,544318,443.41,214422153,25995
New Mexico,12647,4682,176604,159264,315.51,46952015,8719
New York,476896,72270,2060927,1564278,365.03,488788793,81593
North Carolina,84128,14024,241870,155568,235.54,33920782,10606
North Dakota,6287,3745,36608,39009,486.51,18733363,1249
Ohio,181721,31847,715550,440563,373.26,157660078,7710
Oklahoma,24255,7068,163053,145800,356.45,50515964,6736
Oregon,39687,18331,324523,272564,376.99,103132187,3845
Pennsylvania,134812,51091,1548957,1031678,364.45,336335428,36108
Puerto Rico,5957,4608,158928,116878,199.34,22536824,5822
Rhode Island,47310,13429,94142,77290,395.29,28903153,2439
South Carolina,42782,6143,224580,114125,221.28,25378302,6495
South Dakota,2708,1379,19723,14451,360.52,5008081,279
Tennessee,67776,12392,228919,140060,222.89,30707010,7915
Texas,233427,50946,1478313,1090802,411.30,407668230,76107
Utah,14516,4880,86336,59188,427.04,24618127,2078
Vermont,7077,2224,58413,47615,377.85,15373265,1496
Virgin Islands,410,159,6703,7272,416.77,2774890,1508
Virginia,84856,23854,293404,163020,262.51,50948249,7821
Washington,85439,14644,631189,503163,458.50,198305339,17824
West Virginia,12914,5911,98483,83289,279.67,21780916,2412
Wisconsin,73534,19665,473341,388503,307.03,106693307,8744
Wyoming,4770,1649,24267,21396,428.96,9016117,629
United States,4594918,910845,22586280,17533723,346.07,5618368509,821766
Alabama,47827,7176,87689,62303,251.63,15361105,3607
Alaska,14143,2703,59732,61174,297.47,17363597,2121
Arizona,26952,26385,259905,227157,238.83,52629635,9700
Arkansas,15421,3444,93007,45446,249.26,10418113,1799
California,463206,98544,2998066,2818693,311.25,783473572,136859
Colorado,158007,18092,288370,309332,344.14,104220487,5993
Connecticut,27423,11682,290697,306495,363.07,93465363,8099
Delaware,7705,1742,55817,39907,269.60,10330168,1349
District of Columbia,5582,2451,74434,65978,350.67,20707377,2733
Florida,93828,62983,732126,447591,237.98,103526118,30824
Georgia,111308,12692,577176,338258,273.87,85961478,16900
Hawaii,12201,1853,86708,70958,455.95,29634996,3797
Idaho,26408,2887,58169,45694,355.11,14941778,1703
Illinois,291083,35071,1000301,853287,373.27,315261179,26567
Indiana,82257,11632,269310,231191,258.92,57853932,7040
Iowa,21693,10439,191187,162019,431.71,65275485,3277
Kansas,25611,3445,50828,38822,412.97,15693181,1030
Kentucky,49989,4776,166301,105977,335.16,35577705,2635
Louisiana,26200,5342,201482,142103,193.03,26572068,8281
Maine,6497,3005,78130,62739,337.87,20340960,1590
Maryland,85563,14236,238546,277459,317.72,83305935,7288
Massachusetts,58999,18211,582936,542858,500.18,247620751,18824
Michigan,56838,21915,661015,576079,317.93,171811435,21650
Minnesota,44225,12551,455241,394248,453.70,168012779,13334
Mississippi,39614,4139,136429,68616,194.40,12298864,3107
Missouri,52427,11343,232188,160215,256.73,38511880,5850
Montana,5016,2254,64142,43893,467.16,16166860,1488
Nebraska,8050,2410,55144,38828,352.76,13304460,903
Nevada,33878,9760,294614,248374,363.12,77732266,10131
New Hampshire,16049,2356,56295,50119,280.24,13000219,1205
New Jersey,47724,16383,577376,488913,461.55,197241003,18659
New Mexico,8848,3748,130639,115498,324.94,34685736,4782
New York,379998,70232,1760822,1606048,368.65,495289382,58174
North Carolina,39344,11545,209720,143079,232.05,30948668,8675
North Dakota,3764,2046,39063,41135,485.02,19736046,1396
Ohio,504843,32448,698764,453992,382.40,166193872,608
Oklahoma,21181,12305,124585,396800,313.85,124392624,53832
Oregon,30324,14515,288767,242906,377.78,92087977,3616
Pennsylvania,111247,37541,1267438,907022,386.06,308146308,26930
Puerto Rico,5331,4825,108743,107493,518.20,51242682,4604
Rhode Island,43222,11212,99115,75880,399.61,28723403,1912
South Carolina,18220,6596,175302,114815,225.98,25994014,4693
South Dakota,1750,1016,19191,14958,369.30,5322389,173
Tennessee,40499,12536,198439,164277,217.05,35119773,6939
Texas,175083,46983,1303222,927984,409.29,342718204,41060
Utah,10905,3544,71555,59184,424.31,24403549,1905
Vermont,4429,1851,50414,48762,381.61,15639465,1217
Virgin Islands,473,222,6676,7174,410.11,2690144,906
Virginia,52749,22760,261354,194362,287.26,54045935,7832
Washington,57904,13964,526154,443547,454.65,169604845,16037
West Virginia,17625,4967,88783,83388,278.39,21724302,2015
Wisconsin,60361,8000,417724,335897,312.53,92469982,6966
Wyoming,3595,1368,22303,22208,430.45,9363097,591
United States,3553419,766126,18842134,15831135,349.14,5068157146,633206
Alabama,75012,7395,89535,71417,254.26,17835651,5257
Alaska,13779,2664,55793,63562,298.00,18112525,2618
Arizona,21951,7254,210302,189293,238.53,43621956,7738
Arkansas,13559,3468,110485,47097,248.47,10676269,1948
California,384748,100683,2896462,2647868,313.49,741361489,115525
Colorado,341835,62774,413491,389951,406.74,155411817,7378
Connecticut,35117,12807,290907,332659,361.25,101722117,7922
Delaware,8172,1697,57261,43574,262.82,10951291,1389
District of Columbia,9758,2604,75645,67139,358.83,21471419,2603
Florida,84281,26286,774795,377285,232.57,85141397,30411
Georgia,143410,30477,676389,379195,278.95,98497392,14831
Hawaii,17298,2167,88706,68623,463.85,29298594,3306
Idaho,19784,2205,50779,39710,355.11,12844146,1772
Illinois,206139,39936,1050626,982427,371.50,361461895,28751
Indiana,90927,11008,234595,223625,254.74,55177598,6073
Iowa,24052,8539,196354,167349,430.85,67792633,3722
Kansas,12931,5692,97580,72359,417.56,29561999,2378
Kentucky,65878,7842,176316,108969,352.08,38397785,2140
Louisiana,40614,1069,192937,160983,187.81,29359961,8165
Maine,6530,4241,71312,67917,340.20,22143584,1924
Maryland,114277,12172,221803,315172,308.92,92433379,8424
Massachusetts,70988,24006,512177,676228,489.93,305850657,20857
Michigan,59138,16484,642111,553239,319.52,166663759,20372
Minnesota,48589,15202,450246,408766,454.93,176151339,13467
Mississippi,24947,4765,128098,75872,195.40,13513756,2723
Missouri,43234,9443,207531,180951,258.57,43847338,5920
Montana,5946,1737,57154,38119,463.63,14236199,1698
Nebraska,7850,1511,48273,41194,355.40,14259277,1038
Nevada,42498,24743,302599,254728,347.97,81540355,9018
New Hampshire,15448,1876,59141,54996,277.26,14167758,1376
New Jersey,59290,25653,561806,472701,474.61,197418638,16039
New Mexico,13100,4268,122931,107329,329.87,32970373,3707
New York,735270,111507,1692876,1765171,375.35,557583573,45441
North Carolina,67569,10805,191536,138933,234.60,30597004,8937
North Dakota,3439,1666,41776,42416,480.13,20125217,1930
Ohio,379171,27021,735205,468961,383.85,173666033,479
Oklahoma,36652,19452,127508,535364,310.89,166377917,56318
Oregon,36650,15679,288465,231353,382.28,88620879,3797
Pennsylvania,95281,34840,1146421,947124,390.05,326411844,27082
Puerto Rico,6913,4122,165346,101435,198.52,19443902,4063
Rhode Island,20427,7889,89868,74350,389.11,27443250,1925
South Carolina,18715,6945,162154,114433,228.79,26300751,4731
South Dakota,1307,783,18809,17046,369.30,6054882,221
Tennessee,34706,11031,181172,174166,219.45,37654571,5961
Texas,383385,48054,1411869,1014607,405.23,372537141,50778
Utah,13490,3534,65239,61597,427.52,25517112,2278
Vermont,5837,2061,49076,50428,384.25,16404840,1276
Virgin Islands,576,284,6351,6923,442.52,2807426,686
Virginia,100828,31190,265273,214309,288.50,60022056,8591
Washington,53139,19068,479414,430461,453.40,165640264,14798
West Virginia,23192,3879,87187,81987,276.15,21320091,1875
Wisconsin,56771,6543,407538,317612,314.25,88156832,6440
Wyoming,3355,961,21510,23523,429.31,9881823,671
United States,4197753,849982,18758733,16492496,351.64,5346461754,608768
Alabama,134618,12149,87790,61357,309.97,18586083,3577
Alaska,14279,2855,48895,44658,269.14,11488418,1606
Arizona,27881,10785,211514,142004,238.46,33024714,5032
Arkansas,13145,3592,81161,36089,244.94,8056796,1301
California,312777,142907,2431082,2175007,315.43,632207195,72648
Colorado,94505,16308,232061,241977,382.97,91349759,5783
Connecticut,27096,20121,299068,248489,350.58,75767516,4857
Delaware,18018,2101,42913,28537,272.26,7467806,784
District of Columbia,12326,3742,70450,51969,366.40,17039547,1658
Florida,117097,29598,559857,362295,235.22,82836820,23324
Georgia,133403,34982,562483,357950,272.34,90105206,7842
Hawaii,15176,6378,71066,60763,491.55,27521549,1904
Idaho,16931,2547,38514,27166,358.14,8812108,1217
Illinois,81162,72188,865981,815759,362.66,292768754,19893
Indiana,197801,18476,216972,170142,249.44,41214369,4294
Iowa,22145,7935,126109,97820,423.73,38213174,2442
Kansas,14240,2473,60055,40992,418.79,16738002,985
Kentucky,36820,6852,857141,66920,365.14,24453654,1214
Louisiana,33448,19381,200272,158339,182.86,28233284,4813
Maine,6102,3572,60043,50859,344.23,16692261,1245
Maryland,58319,7991,170995,156874,318.16,47323658,3629
Massachusetts,54461,17548,384076,367664,508.13,171871729,11913
Michigan,107355,28464,447036,332869,329.15,103187779,10278
Minnesota,62705,21268,353581,293335,440.87,122172008,8441
Mississippi,16263,8829,114893,66883,195.73,11881188,1858
Missouri,47553,17919,206932,136228,255.53,32707727,3929
Montana,5052,2251,40615,25641,494.11,9364375,1024
Nebraska,6428,1825,32200,23345,343.25,7812474,723
Nevada,40858,32490,317931,264361,340.36,89861755,5122
New Hampshire,15169,3863,42257,37282,277.35,9469822,647
New Jersey,59005,37939,532156,446160,473.48,189386793,11285
New Mexico,17857,8134,112883,99561,329.67,30994659,2958
New York,364248,204571,1568175,1393886,383.48,458688875,22396
North Carolina,84451,9226,168902,65555,462.94,28921243,4035
North Dakota,5948,1781,23030,22384,468.38,10302899,1296
Ohio,92592,16452,452724,276472,377.90,101008508,172
Oklahoma,65387,22786,136072,449164,311.35,139812217,50719
Oregon,39209,14639,230434,167211,382.28,64114085,2548
Pennsylvania,95616,42534,889676,609022,393.57,212931864,15454
Puerto Rico,9354,4518,101108,73236,29.78,20507967,2499
Rhode Island,28282,10792,73168,61334,380.39,22024569,1113
South Carolina,22781,7723,161875,89208,235.14,21078846,3392
South Dakota,1221,491,11527,8801,351.90,2978346,150
Tennessee,44481,17615,195783,150216,217.02,32157337,4685
Texas,195725,40134,1135786,791891,409.87,296984418,48618
Utah,24160,3647,55670,41317,422.47,16936133,1408
Vermont,20606,4989,48170,42834,369.98,13037701,605
Virgin Islands,592,194,4778,5302,456.17,2239797,470
Virginia,70848,31842,238315,163583,294.43,46703184,5230
Washington,54690,13003,299463,247243,474.25,102987822,8867
West Virginia,25679,3978,71241,53729,273.12,13968161,1192
Wisconsin,60456,6746,346809,250664,302.38,65993005,5178
Wyoming,4727,1149,16263,16062,424.47,6650517,479
United States,3131048,1066273,16107951,12468409,348.59,4068638476,408732
Alabama,55886,5370,87535,56370,258.49,14274312,3566
Alaska,12357,2154,47328,37963,266.56,9705144,1374
Arizona,20877,11375,246108,159313,238.45,37141659,4905
Arkansas,10129,3625,90928,42465,236.69,9129380,2119
California,298334,161384,2770442,2616694,316.92,762067261,72971
Colorado,32644,14772,270764,285118,376.33,106102889,6149
Connecticut,27096,12150,294290,230333,343.73,68957499,4044
Delaware,20731,2911,47877,29076,287.98,8111763,630
District of Columbia,6880,2956,80781,51364,367.74,16873637,1238
Florida,85401,23648,480430,330437,237.87,76552949,13788
Georgia,108244,14883,486689,313385,275.22,80048718,5268
Hawaii,10344,3465,66953,52160,500.44,23889985,1214
Idaho,8010,1972,33712,26174,353.33,8413905,909
Illinois,99409,38277,822391,746681,364.76,269476440,18794
Indiana,46428,17804,245426,208071,254.57,51632552,3571
Iowa,14329,5238,103489,75625,411.40,28312773,1734
Kansas,11274,3377,55869,46715,413.97,18845325,1111
Kentucky,24557,4149,97218,60107,374.45,22537601,834
Louisiana,26131,14873,216106,165163,175.57,28296521,2348
Maine,4559,1917,54371,40742,343.46,13314450,968
Maryland,185596,4367,198289,89921,329.29,28069512,2853
Massachusetts,37111,12300,369354,284537,510.56,133255640,9224
Michigan,57558,35660,560290,334259,328.00,100814954,10679
Minnesota,31586,13259,312821,233645,423.42,92948834,6910
Mississippi,13255,4053,131080,69312,197.69,12409301,1472
Missouri,29406,13048,265562,168925,267.01,42643681,3855
Montana,3628,1495,36949,20879,495.64,7611507,644
Nebraska,6152,2432,33456,25125,344.52,8405625,645
Nevada,15401,10108,325955,178945,450.71,83303613,4275
New Hampshire,4505,1661,34502,28066,280.49,7279789,452
New Jersey,60854,25093,511759,426892,484.48,184516259,8788
New Mexico,16627,4345,113825,101383,336.57,32333026,3440
New York,121594,46942,1586892,1222492,373.71,375382971,22193
North Carolina,42116,12161,200494,147240,244.77,34653399,6659
North Dakota,2321,869,15068,14329,454.75,6395118,580
Ohio,65480,23391,421325,252260,376.92,91644572,111
Oklahoma,43864,16500,149594,539313,306.83,165447909,44400
Oregon,31040,12337,215391,159148,377.11,60265408,2377
Pennsylvania,111331,32742,988719,541467,394.40,189520292,12941
Puerto Rico,9715,7923,136750,85443,200.19,16656602,1821
Rhode Island,38237,12368,92843,65095,389.32,23884843,1030
South Carolina,12866,7731,179642,101793,242.94,24802286,3421
South Dakota,1129,326,9442,5145,335.94,1653010,108
Tennessee,31525,12841,244463,163347,215.14,34701767,4338
Texas,109102,38947,915846,619770,412.79,236002289,48441
Utah,13520,3173,64410,42545,421.63,17420122,1226
Vermont,1892,1758,42479,31732,366.14,9458698,418
Virgin Islands,860,211,3545,3451,466.42,1505704,469
Virginia,39867,23384,272871,172304,290.47,48509251,4460
Washington,56073,15590,296018,266980,485.13,113965230,8224
West Virginia,18638,3111,78581,48579,267.44,12405246,1014
Wisconsin,42108,4928,314769,238954,297.83,60770398,5184
Wyoming,2200,800,15018,12865,417.94,5244350,358
United States,2180777,752154,15736709,12270097,343.42,3917565969,370545
Alabama,40596,4256,83846,46386,260.53,11848382,3401
Alaska,7072,1979,34296,38227,259.44,9489966,489
Arizona,16503,8722,198178,171860,236.63,39934143,4618
Arkansas,9043,3588,87894,42087,228.34,8953298,1387
California,254295,130172,2647793,2470384,318.16,727070197,62379
Colorado,42400,11707,237797,248731,386.75,95168748,4760
Connecticut,22941,10666,233924,263005,344.32,79708605,5130
Delaware,42489,2243,61384,26295,302.16,7744736,594
District of Columbia,9225,2719,66021,59274,365.57,19059081,1422
Florida,51007,14878,392617,263897,241.81,62464693,13980
Georgia,101264,17708,649170,361854,279.36,94831796,5741
Hawaii,9942,2859,71168,57266,496.12,26365059,1169
Idaho,5460,1569,25282,19293,340.98,6133924,816
Illinois,134881,48226,827704,863742,360.88,308491320,21389
Indiana,31458,8947,202599,159646,254.25,39716606,3091
Iowa,9595,5128,108133,82559,401.62,30673186,1943
Kansas,8856,3209,67112,55433,409.69,22149601,1290
Kentucky,24448,3892,101933,93362,392.58,36653224,1112
Louisiana,20142,10043,210370,206376,177.07,35788344,2626
Maine,4255,1736,43830,42559,339.44,13679104,962
Maryland,434107,9263,196382,106923,337.66,34214153,2468
Massachusetts,38273,13281,280300,309294,503.55,144525114,8293
Michigan,39022,24813,404853,340126,327.70,101354419,11686
Minnesota,26646,12193,260761,254159,415.22,99250013,7276
Mississippi,9218,5074,121575,82039,199.10,15158801,1427
Missouri,19815,11519,214786,186865,263.25,46903262,4547
Montana,3159,1218,29081,22913,446.03,7787088,605
Nebraska,7285,1836,28939,27372,336.03,8945906,665
Nevada,10248,6923,233903,163321,445.33,72298012,4310
New Hampshire,3567,923,27721,21659,294.78,5953034,412
New Jersey,44618,21562,553329,448791,485.18,194130544,8527
New Mexico,15099,2845,76168,68444,345.55,22696904,1812
New York,104177,43652,1257282,1394204,370.79,417456355,30189
North Carolina,28214,8532,157241,116456,249.87,28175130,4728
North Dakota,2195,951,16234,14815,438.25,6388596,547
Ohio,54637,17379,313618,237105,371.84,85282738,67
Oklahoma,40032,16227,134728,462294,307.54,142144648,42726
Oregon,26118,10597,240425,183365,382.84,69949488,2764
Pennsylvania,146209,27343,709584,471693,392.77,173350317,10334
Puerto Rico,26781,8853,139646,120516,197.29,23339658,1902
Rhode Island,37208,11141,84912,83856,399.05,31962827,1114
