STATE,Initial Claims,First Payments,Weeks Claimed,Weeks Compensated,Avg. Wkly Benefit,Benefits Paid,Final Payments
Arkansas,52031,16847,77649,55952,271.47,14436507,1196
California,1654010,215234,2071528,1836915,336.78,607273388,35608
Colorado,108375,16497,134319,113259,455.64,50499094,2451
Connecticut,82041,29040,282211,231201,405.97,88963548,2558
Delaware,39249,10165,43091,38411,289.62,10832783,442
District of Columbia,39175,3120,57223,31731,366.26,11270916,610
Florida,372727,8980,173330,85295,254.57,21443452,4715
Georgia,312520,63320,349609,164329,297.62,45305582,3644
Hawaii,83622,3417,55959,29207,542.52,15347485,436
Idaho,62296,11457,69568,46889,343.60,15004063,1391
Illinois,432420,48850,641319,600343,418.56,249837156,6851
Indiana,280444,23744,283933,132282,296.82,38368642,1241
Iowa,126040,15846,219395,121881,417.96,48848277,1896
Kansas,103119,17560,83086,59120,393.05,22658227,1295
Kentucky,215419,17875,159083,113840,388.34,44292633,3745
Louisiana,219100,46968,190889,108459,210.62,22215850,1057
Maine,61014,17850,80173,66540,349.92,22966053,649
Maryland,189982,20635,201030,149402,352.62,51412721,2006
Massachusetts,408645,70296,673536,393581,557.19,214894226,5142
Michigan,656570,28890,561430,408797,326.15,130314810,1576
Minnesota,282933,6462,521986,396810,452.18,171947134,4514
Mississippi,60907,13374,55357,39244,211.92,7990137,499
Missouri,196436,20527,215701,123544,269.39,32173474,2349
Montana,44005,1678,74691,48722,388.88,17511864,1065
Nebraska,52974,3939,53206,25475,352.92,8871941,363
Nevada,208869,63192,228658,172863,371.43,61027404,1859
New Hampshire,80054,13813,61846,34703,307.27,9973652,133
New Jersey,445367,91605,662261,606528,460.60,267829890,10761
New Mexico,62526,8082,67524,47608,344.58,16257887,649
New York,663655,226106,1301610,1018981,382.71,374767206,11166
North Carolina,332141,20052,223873,84470,268.20,21905328,3326
North Dakota,25974,3678,41524,35955,481.45,17213448,1154
Ohio,577485,111262,780467,428709,378.76,159834687,3240
Oklahoma,94163,21261,114553,95160,389.99,35958694,1833
Oregon,110509,21085,244341,145942,416.74,60120164,2382
Pennsylvania,565647,21152,889250,455008,410.47,179095930,6370
Puerto Rico,96452,3255,77642,64028,162.05,10258621,1746
Rhode Island,60006,30611,105351,99773,352.04,34686060,759
South Carolina,140472,4399,131836,58893,263.52,15610877,2038
South Dakota,13958,802,18338,12865,362.40,4584636,108
Tennessee,183318,25132,185412,114914,242.03,27155429,1692
Texas,556280,72051,820198,594997,426.70,243254973,13530
Utah,64843,6942,85719,48682,426.27,20357732,1078
Vermont,47822,4686,42897,27042,396.79,9982327,161
Virgin Islands,2615,148,1907,2080,448.17,910545,40
Virginia,235849,111068,186456,164498,300.76,48345684,2253
Washington,406263,56552,502462,392552,464.50,165709816,4151
West Virginia,27154,12764,92782,91684,325.34,28783672,988
Wisconsin,239501,29272,397118,207690,326.95,64132057,1791
Wyoming,12775,1921,20722,21100,414.18,8576790,337
United States,11763805,1709565,14906507,10615345,377.93,3891898614,164890
Alabama,300079,177498,743187,644488,254.95,162659058,4812
Alaska,49769,31379,173288,148127,257.87,36817560,1259
Arizona,321397,162320,722443,588811,239.04,136867784,2002
Arkansas,139108,78216,389301,327144,236.80,74120948,1341
California,2354590,2040331,9901114,9005626,314.88,2816379041,47863
Colorado,255141,212161,821905,814630,391.25,313950730,3338
Connecticut,217671,80453,1094731,934465,294.87,273858281,3071
Delaware,43886,29420,164403,159459,272.02,42319240,492
District of Columbia,42011,40353,184434,193883,369.33,70098632,703
Florida,606591,295866,918981,767606,239.39,182971440,4859
